failure,smart_1_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_187_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw
0,157962704,0,9,0,167601523,15110,0,9,0,0,0,2593,24,0,0,0
0,0,563,26,0,0,37785,0,24,0,0,1409,1409,29,0,0,0
0,131928000,0,8,0,64412010,1538,0,8,0,0,0,7559,27,0,0,0
0,53174224,0,7,0,2542431,393,0,7,0,0,0,16051,31,0,0,0
0,0,559,25,0,0,26526,0,25,0,0,408,408,33,0,0,0
0,196376328,0,17,0,717900933,22162,0,18,0,0,7,22968,26,0,0,0
0,67166616,0,9,0,3289387,694,0,9,0,0,0,18529,29,0,0,0
0,236095112,0,14,0,481812493,19473,0,14,0,0,8,10358,27,0,0,0
0,193514576,0,12,0,13347775140,6607,0,11,0,4836,0,5192,24,0,0,2
0,0,628,16,0,0,41120,0,15,0,0,934,934,30,0,0,0
0,0,0,4,0,0,12923,0,4,0,0,166,166,25,0,0,0
0,0,555,11,0,0,13662,0,11,0,0,26,26,27,0,0,0
0,224538208,0,12,0,435323476,19465,0,12,0,0,3,13068,24,0,0,0
0,35249528,0,31,0,320344211,17332,0,31,0,0,8,10490,22,0,0,0
0,0,457,8,0,0,13665,0,8,0,0,153,153,26,0,0,0
0,200474752,0,11,0,263297711,16825,0,11,0,0,2,14657,32,0,0,0
0,0,8941,7,0,0,9379,0,7,0,0,0,540,29,0,0,0
0,0,0,3,0,0,11984,0,3,0,0,141,141,27,0,0,0
0,120638608,0,2,0,194287459,5053,0,2,0,0,0,38863,23,0,0,0
0,0,560,15,0,0,23146,0,15,0,0,18,18,26,0,0,0
0,0,547,12,0,0,13472,0,12,0,0,149,149,24,0,0,0
0,0,449,9,0,0,14601,0,9,0,0,108,108,27,0,0,0
0,65091104,0,5,0,3726579,692,0,5,0,0,0,18307,26,0,0,0
0,0,0,3,0,0,13458,0,3,0,0,2,18,22,0,0,0
0,0,566,19,0,0,24662,0,18,0,0,23,23,26,0,0,0
0,0,560,19,0,0,25433,0,19,0,0,22,22,20,0,0,0
0,0,511,24,0,0,47036,0,24,0,0,1555,1555,28,0,0,0
0,147251424,0,1,0,172548778,4407,0,1,0,0,0,23760,36,0,0,0
0,197582872,0,2,0,213089795,5530,0,2,0,0,0,30659,24,0,0,0
0,3344000,0,13,0,130752188,2357,0,13,0,0,0,7089,17,0,0,0
0,109123200,0,6,0,152145100,4014,0,6,0,0,0,38713,28,0,0,0
0,53113304,0,3,0,322496287,7880,0,3,0,0,0,43285,27,0,0,0
0,173269344,0,1,0,193156148,5053,0,1,0,0,0,39528,30,0,0,0
0,0,555,15,0,0,27574,0,15,0,0,213,213,29,0,0,0
0,13007592,0,4,0,50759156,1064,0,4,0,0,0,1439,21,0,0,0
0,1,6508,39,0,0,17985,0,37,0,0,3,342290,18,0,0,0
0,53796920,0,2,0,2719915,558,0,1,0,0,0,16109,27,0,0,0
0,0,563,39,0,0,36067,0,38,0,0,40,40,22,0,0,0
0,80791024,0,6,0,3934845,702,0,5,0,0,0,18070,25,0,0,0
0,0,458,6,0,0,10949,0,6,0,0,122,122,31,0,0,447
0,0,445,7,0,0,11580,0,7,0,0,55,55,22,0,0,0
0,118181768,0,3,0,67551716,1545,0,3,0,0,0,5214,28,0,0,0
0,0,618,23,0,0,43142,0,23,0,0,734,734,28,0,0,0
0,202752816,0,17,0,477972442,13911,0,15,0,0,0,107914,33,0,0,0
0,55763816,0,2,0,2467341,409,0,2,0,0,0,16071,28,0,0,0
0,0,628,15,0,0,41842,0,15,0,0,1083,1083,28,0,0,0
0,0,566,16,0,0,32622,0,16,0,0,16,16,28,0,0,0
0,0,0,7,0,0,7928,0,7,0,0,729,729,34,0,0,0
0,214136528,0,8,0,127986581,3362,0,8,0,0,0,27196,34,0,0,0
