SN,SFR_L,SFR_R,sample
61A3B000399,517.5467,527.36,84
61A3B004884,670.303,499.6267,85
61A3B006631,559.1467,561.28,85
61A3B000082,536.96,535.4667,85
61A3B003209,381.8667,624.6299,85
61A3B006977,519.619,511.5733,85
61A3B002271,307.6267,630.7797,86
61A3B000271,553.8133,524.16,86
61A3B006080,551.2941,520.96,86
61A3B005484,566.6133,514.56,86
61A3B001023,564.7324,545.0667,86
61A3B006946,568.9379,536.5333,87
61A3B001020,601.1275,503.68,87
61A3B004881,539.1111,521.3867,87
61A3B000398,510.08,451.4133,87
61A3B003214,453.5467,485.12,87
61A3B002431,554.6667,474.6667,88
61A3B006917,607.1409,537.6,88
61A3B002468,609.2973,501.3333,88
61A3B006520,552.96,534.4,88
61A3B002448,561.9021,525.6533,88
61A3B000279,496.2133,484.9067,89
61A3B003567,284.349,648,89
61A3B003568,576.8533,532.2667,89
61A3B002348,560.6957,534.1867,89
61A3B003211,560.7724,529.0667,89
61A3B000282,564.2667,478.5067,90
61A3B006961,587.3067,513.28,90
61A3B004133,585.4815,465.92,90
61A3B006773,542.72,494.08,90
61A3B006951,295.8933,714.2268,90
61A3B003566,542.9333,487.2533,91
61A3B000273,530.1333,458.0267,91
61A3B002862,557.7481,568.1096,91
61A3B005713,536.4324,509.2267,91
61A3B002412,555.1781,586.4533,91
61A3B006137,550.7945,538.24,92
61A3B002465,525.8667,472.1067,92
61A3B002637,625.7426,540.1342,92
61A3B003565,575.7867,487.04,92
61A3B006956,511.1467,510.08,92
61A3B005992,555.5973,490.4533,93
61A3B005644,613.1765,522.24,93
61A3B002402,574.2819,491.7333,93
61A3B003252,602.8235,493.2267,93
61A3B006052,578.8108,514.56,93
61A3B001013,576.2133,583.0137,94
61A3B006825,529.92,475.3067,94
61A3B003254,577.7297,542.72,94
61A3B000269,551.4667,586.7383,94
61A3B001096,556.3077,538.0267,94
61A3B005654,596.9067,544.8533,95
61A3B001016,514.9867,454.4,95
61A3B002407,529.7067,542.08,95
61A3B006740,549.12,504.1067,95
61A3B006954,579.7517,622.5743,95
61A3B005639,543.5733,503.2533,96
61A3B005632,622.069,524.5867,96
61A3B002376,585.3867,516.9067,96
61A3B002389,535.2533,520.5333,96
61A3B005728,519.68,453.5467,96
61A3B002466,562.2857,498.56,97
61A3B004996,551.0355,512.2133,97
61A3B006563,542.9333,477.6533,97
61A3B002399,564.7761,530.3467,97
61A3B001022,560.7619,498.9867,97
61A3B004883,578.9867,500.9067,98
61A3B005133,556.16,561.4933,98
61A3B006082,572.3733,510.08,98
61A3B005131,585.8133,501.3333,98
61A3B002274,553.8133,487.2533,98
61A3B002463,573.4493,483.84,99
61A3B002429,543.7778,491.0933,99
61A3B006070,558.5067,511.1467,99
61A3B002432,641.7638,531.84,99
61A3B001021,553.1733,572.5867,99
61A3B005642,603.1238,479.36,100
61A3B001055,558.993,538.4533,100
61A3B006069,524.3733,578.014,100
61A3B006522,570.3111,534.8267,100
61A3B005870,555.2552,546.7733,100
61A3B004093,554.24,558.72,101
61A3B001024,516.48,525.44,101
61A3B006065,531.2,492.5867,101
61A3B006071,572.9933,521.3867,101
61A3B006591,375.6639,340.25,101
61A3B002183,552.7467,516.2667,102
61A3B004349,523.0933,492.5867,102
61A3B004967,543.36,484.48,102
61A3B006848,568.5986,556.5867,102
61A3B002235,471.4667,538.88,102
61A3B002837,518.3129,498.56,103
61A3B004755,555.1111,523.3067,103
61A3B002492,552.1067,508.8,103
61A3B001094,488.5333,448.8533,103
61A3B003397,540.3733,523.9467,103
61A3B005744,580.9067,561.9726,104
61A3B004017,603.027,542.9333,104
61A3B005057,568.32,508.3733,104
61A3B005269,603.7015,543.36,104
61A3B002839,577.1679,533.12,104
61A3B005251,567.8806,541.8667,105
61A3B005031,658.8571,596.1399,105
61A3B005670,558.9333,529.0667,105
61A3B006750,564.6917,506.88,105
61A3B005630,370.3467,731.5772,105
61A3B006595,306.6667,600.3692,106
61A3B006738,467.4133,531.84,106
61A3B006973,544.4267,536.96,106
61A3B006739,567.2533,487.68,106
61A3B006751,575.3239,511.5733,106
61A3B006742,576,519.04,107
61A3B006267,564.9134,512.8533,107
61A3B006748,291.84,692.9577,107
61A3B006737,555.6788,501.12,107
61A3B002467,562.7211,538.24,107
61A3B006067,252.3733,428.8525,108
61A3B002749,638.5882,493.8667,108
61A3B006251,535.4667,489.8133,108
61A3B005629,340.9067,579.84,108
61A3B004984,554.0267,493.8667,108
61A3B004092,285.44,425.9417,109
61A3B004090,563.84,551.5168,109
61A3B004983,351.7867,572.517,109
61A3B004840,470.1867,608,109
61A3B004830,536.5333,526.2933,109
61A3B004097,555.7333,567.2533,110
61A3B005653,622.5036,534.6133,110
61A3B006244,289.2973,716.1165,110
61A3B005320,526.72,444.8,110
61A3B005789,565.3333,480,110
61A3B002462,536.6857,474.88,111
61A3B004091,484.6933,490.4533,111
61A3B005155,193.0738,363.0504,111
61A3B006247,457.1733,711.8806,111
61A3B004088,628.3294,536.7467,111
61A3B004831,555.0933,523.0933,112
61A3B004087,567.04,498.1333,112
61A3B002647,478.5067,443.7333,112
61A3B006241,519.8933,471.2533,112
61A3B006752,576.9697,510.08,112
61A3B006243,575.5646,506.4533,113
61A3B006250,595.3433,498.56,113
61A3B006248,571.3067,564.9067,113
61A3B001377,546.1333,494.72,113
61A3B006585,425.1733,544.8533,113
61A3B005790,525.44,506.8108,114
61A3B001912,545.92,488.1067,114
61A3B005695,610.6947,529.0667,114
61A3B005160,488.1067,460.5867,114
61A3B004842,582.0134,510.5067,114
61A3B006744,553.3605,495.1467,115
61A3B005042,566,489.8133,115
61A3B005787,567.3577,509.6533,115
61A3B005322,612.9431,527.5733,115
61A3B006245,574.1714,494.72,115
61A3B004254,555.1407,484.0533,116
61A3B001378,554.88,503.8933,116
61A3B005064,614.8966,532.2667,116
61A3B005006,533.12,519.4667,116
61A3B005319,545.7067,509.44,116
61A3B006452,578.8493,512.4267,117
61A3B005874,592.5517,529.0667,117
61A3B005659,613.6,512,117
61A3B005353,584.6154,534.4,117
61A3B004837,574.08,486.4,117
61A3B006249,564.8485,493.6533,118
61A3B005077,569.3867,516.48,118
61A3B003500,533.9733,484.48,118
61A3B002682,568.5333,497.4933,118
61A3B005872,579.7517,536.96,118
61A3B005669,556.16,475.0933,119
61A3B005876,578.4965,505.3867,119
61A3B006523,526.08,505.8133,119
61A3B005512,233.4497,467.5702,119
61A3B005078,674.3467,541.8667,119
61A3B004427,570.4533,507.0933,120
61A3B005079,566.1867,513.5135,120
61A3B005043,572.16,510.2933,120
61A3B005146,578.4444,570.3401,120
61A3B004255,560.4638,560.4267,120
61A3B005104,528.8533,486.1867,121
61A3B005671,493.2267,530.9867,121
61A3B005655,549.0068,464.8533,121
61A3B005044,546.7733,539.0933,121
61A3B002374,557.2267,543.5733,121
61A3B006629,522.88,512.4267,122
61A3B006252,599.6748,523.3067,122
61A3B004261,617.1733,551.4667,122
61A3B002702,538.5946,548.2667,122
61A3B006557,526.72,515.84,122
61A3B004459,540.3733,490.88,123
61A3B002688,572.169,508.5867,123
61A3B005076,541.6216,506.6667,123
61A3B003483,578.1333,511.1467,123
61A3B006386,542.08,554.0267,123
61A3B004456,518.8267,503.2533,124
61A3B001911,258.56,468.4912,124
61A3B006720,260.2667,697.985,124
61A3B004458,314.2857,740.2105,124
61A3B004205,442.6667,536.4364,124
61A3B002346,237.6533,635.0222,125
61A3B006600,277.9733,369.6667,125
61A3B005317,600.0708,530.3467,125
61A3B005375,332.5867,714.1408,125
61A3B002661,275.4133,419.2,125
61A3B004152,226.9867,403.4188,126
61A3B006560,262.6133,379.2868,126
61A3B005143,271.7867,533.5,126
61A3B004243,235.7333,416.7218,126
61A3B004199,489.3867,552.32,126
61A3B004149,350.08,391.3071,127
61A3B004988,176.2192,429.7143,127
61A3B000421,244.6933,406.9254,127
61A3B000427,282.6667,558,127
61A3B002011,192.2133,747.4286,127
61A3B003554,341.5467,565.76,128
61A3B006872,290.9867,754.1205,128
61A3B002423,276.6027,602,128
61A3B004959,314.24,625.6911,128
61A3B006718,388.9067,579.1605,128
61A3B006947,301.0133,602.9752,129
61A3B005778,272.4267,649,129
61A3B005551,246.4,443.661,129
61A3B006579,222.08,684.0367,129
61A3B004068,357.5467,626.5098,129
61A3B003458,449.0667,494.5067,130
61A3B000262,240.4384,623.2727,130
61A3B004089,515.2,467.6267,130
61A3B005779,289.4933,525.6238,130
61A3B006921,500.6933,508.16,130
61A3B003352,290.1333,386.1573,131
61A3B004096,517.3333,498.56,131
61A3B006265,457.1733,515.6267,131
61A3B005059,238.08,487.9292,131
61A3B006889,477.4228,477.6533,131
61A3B006827,358.4,512.4638,132
61A3B004159,472.32,489.2991,132
61A3B005020,500.6933,634.2095,132
61A3B002648,576.7273,654.8966,132
61A3B002645,535.4667,582.5133,132
61A3B002984,247.4094,441.8462,133
61A3B004200,271.36,685.2028,133
61A3B002666,394.6667,635.136,133
61A3B004160,220.5867,373.1064,133
61A3B006266,228.9067,423.0551,133
61A3B000400,345.1275,574.2933,134
61A3B005080,194.56,351.3725,134
61A3B005082,367.5733,701.3333,134
61A3B002507,545.4933,572.0548,134
61A3B004428,276.9067,703.1111,134
61A3B004462,276.6933,453.9259,135
61A3B005716,239.5733,354.807,135
61A3B000214,293.5467,422.1069,135
61A3B003914,210.3467,613.6889,135
61A3B005358,539.7333,532.9067,135
61A3B005148,380.8,440.9492,136
61A3B003103,301.44,537.8462,136
61A3B006598,286.1972,580.129,136
61A3B004911,264.1067,390.4561,136
61A3B005019,553.6,488.1067,136
61A3B006242,456.7467,652.0615,137
61A3B005073,181.9733,376.7018,137
61A3B006588,270.9333,455.6581,137
61A3B005018,266.8138,378.022,137
61A3B004262,256.64,397.3333,137
61A3B005690,507.52,587.7333,138
61A3B002735,287.1233,761.6,138
61A3B006592,241.28,382.8652,138
61A3B004987,306.1333,442.88,138
61A3B005105,268.16,417.5422,138
61A3B002754,352.64,555.9467,139
61A3B003212,577.7067,554.6667,139
61A3B006878,224.2133,385.6842,139
61A3B003195,307.4133,790.1538,139
61A3B004257,383.36,647.68,139
61A3B001914,269.1007,383.0154,140
61A3B002650,553.8133,476.5867,140
61A3B005041,253.2267,473.3333,140
61A3B006876,569.9866,600.7154,140
61A3B006719,250.0267,427.541,140
61A3B006743,333.2267,737.3008,141
61A3B003251,237.0133,408.6929,141
61A3B003743,521.6,636.6434,141
61A3B001923,190.08,401.7778,141
61A3B006875,280.1067,615.7983,141
61A3B003469,574.72,530.56,142
61A3B004579,533.76,478.08,142
61A3B005376,292.9067,727.5789,142
61A3B005627,268.8,724,142
61A3B006007,341.9733,607.5,142
61A3B005001,215.68,672,143
61A3B006135,534.8267,484.0533,143
61A3B005017,303.5733,684.9901,143
61A3B002308,296.7467,496.1616,143
61A3B005725,341.12,703.6667,143
61A3B002404,182.6133,377.2121,144
61A3B001924,558.1745,474.0267,144
61A3B006599,557.2267,582.8235,144
61A3B003463,247.8933,411.469,144
61A3B003496,251.3067,393.7851,144
61A3B006978,236.16,402.5263,145
61A3B006962,583.7315,511.1467,145
61A3B006723,264.5333,424.7742,145
61A3B004150,266.88,691.1008,145
61A3B002307,556.3733,456.96,145
61A3B000696,498.9867,529.92,146
61A3B005680,167.04,332.9123,146
61A3B006177,246.6133,394.7481,146
61A3B002671,211.2877,430.1333,146
61A3B006724,553.3867,701.9636,146
